Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
        7.628, -1.9995341301, 48.1135177612, 94.1849822998, 2.75300002098, 13627.3095703, 13627.3095703, 2672.00463867
        7.629, -1.99950253963, 48.1135635376, 94.1983642578,  2.7539999485, 13627.3046875, 13627.3046875, 2672.01000977
         7.63, -1.99946773052,  48.113609314, 94.2117462158, 2.75500011444, 13627.2998047, 13627.2998047, 2672.01538086
        7.631, -1.99942970276, 48.1136512756, 94.2251281738, 2.75600004196, 13627.2949219, 13627.2949219, 2672.02099609
        7.632, -1.99938857555,  48.113697052, 94.2385101318, 2.75699996948, 13627.2910156, 13627.2910156, 2672.02661133
        7.633, -1.99934458733, 48.1137390137, 94.2518920898,   2.757999897, 13627.2861328, 13627.2861328,  2672.0324707
        7.634, -1.99929761887, 48.1137771606, 94.2652740479, 2.75900006294, 13627.2822266, 13627.2822266, 2672.03833008
        7.635, -1.9992480278, 48.1138191223, 94.2786560059, 2.75999999046, 13627.2783203, 13627.2783203, 2672.04418945
        7.636, -1.99919569492, 48.1138572693, 94.2920303345, 2.76099991798, 13627.2744141, 13627.2744141, 2672.05004883
        7.637, -1.99914073944, 48.1138916016, 94.3054122925, 2.76200008392, 13627.2705078, 13627.2705078, 2672.05615234
        7.638, -1.99908339977, 48.1139259338, 94.3187942505, 2.76300001144, 13627.2675781, 13627.2675781, 2672.06225586
        7.639, -1.99902379513, 48.1139602661, 94.3321762085, 2.76399993896, 13627.2646484, 13627.2646484, 2672.06811523
         7.64, -1.99896204472, 48.1139945984, 94.3455581665,  2.7650001049, 13627.2607422, 13627.2607422, 2672.07421875
        7.641, -1.99889826775,  48.114025116, 94.3589401245, 2.76600003242, 13627.2578125, 13627.2578125, 2672.08032227
        7.642, -1.99883246422, 48.1140556335, 94.3723220825, 2.76699995995, 13627.2558594, 13627.2558594, 2672.08618164
        7.643, -1.99876499176, 48.1140823364, 94.3857040405, 2.76799988747, 13627.2529297, 13627.2529297, 2672.09204102
        7.644, -1.99869573116, 48.1141090393, 94.3990859985, 2.76900005341,      13627.25,      13627.25, 2672.09814453
        7.645, -1.99862515926, 48.1141357422, 94.4124679565, 2.76999998093, 13627.2480469, 13627.2480469, 2672.10400391
        7.646, -1.99855315685, 48.1141586304, 94.4258499146, 2.77099990845, 13627.2460938, 13627.2460938, 2672.10961914
        7.647, -1.99847996235, 48.1141815186, 94.4392318726, 2.77200007439, 13627.2441406, 13627.2441406, 2672.11547852
        7.648, -1.99840581417, 48.1142044067, 94.4526138306, 2.77300000191, 13627.2421875, 13627.2421875, 2672.12109375
        7.649, -1.99833071232, 48.1142234802, 94.4659881592, 2.77399992943, 13627.2412109, 13627.2412109, 2672.12646484
         7.65, -1.99825489521, 48.1142425537, 94.4793701172, 2.77500009537, 13627.2402344, 13627.2402344, 2672.13183594
        7.651, -1.99817848206, 48.1142616272, 94.4927520752, 2.77600002289, 13627.2392578, 13627.2392578, 2672.13720703
        7.652, -1.99810171127,  48.114276886, 94.5061340332, 2.77699995041, 13627.2382812, 13627.2382812, 2672.14233398
        7.653, -1.99802458286, 48.1142883301, 94.5195159912, 2.77800011635, 13627.2373047, 13627.2373047,  2672.1472168
        7.654, -1.99794745445, 48.1143035889, 94.5328979492, 2.77900004387, 13627.2363281, 13627.2363281, 2672.15209961
        7.655, -1.99787032604,  48.114315033, 94.5462799072, 2.77999997139, 13627.2363281, 13627.2363281, 2672.15698242
        7.656, -1.99779331684, 48.1143226624, 94.5596618652, 2.78099989891, 13627.2363281, 13627.2363281, 2672.16137695
        7.657, -1.99771678448, 48.1143341064, 94.5730438232, 2.78200006485, 13627.2363281, 13627.2363281, 2672.16577148
        7.658, -1.99764072895, 48.1143417358, 94.5864257812, 2.78299999237, 13627.2363281, 13627.2363281, 2672.16992188
        7.659, -1.99756538868, 48.1143493652, 94.5998077393, 2.78399991989, 13627.2363281, 13627.2363281, 2672.17382812
         7.66, -1.99749088287, 48.1143531799, 94.6131896973, 2.78500008583, 13627.2373047, 13627.2373047, 2672.17773438
        7.661, -1.99741733074, 48.1143569946, 94.6265716553, 2.78600001335, 13627.2382812, 13627.2382812, 2672.18115234
        7.662, -1.9973449707, 48.1143608093, 94.6399536133, 2.78699994087, 13627.2392578, 13627.2392578, 2672.18457031
        7.663, -1.99727380276, 48.1143608093, 94.6533355713, 2.78800010681, 13627.2402344, 13627.2402344, 2672.18774414
        7.664, -1.99720406532, 48.1143608093, 94.6667098999, 2.78900003433, 13627.2412109, 13627.2412109, 2672.19067383
        7.665, -1.99713587761, 48.1143608093, 94.6800918579, 2.78999996185, 13627.2421875, 13627.2421875, 2672.19335938
        7.666, -1.99706935883, 48.1143608093, 94.6934738159, 2.79099988937, 13627.2441406, 13627.2441406, 2672.19580078
